Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
Which of the following is an illustration of the legal concept of elective share?,A surviving spouse places a lien on a debtor's property,A widow who was excluded from a will makes a claim to a portion of the couple's principal residence,A spouse who loses her home because of her husband's gambling debt sues in court for exemption from the debt,A widower whose spouse died without a will sues to change the provisions of the will,b,,PREP FL 8.26
"A one-year lease on a house has expired, but the tenant continues sending monthly rent checks to the owner, and the owner accepts them. What kind of leasehold estate exists?",Estate for years,Estate from period to period,Estate at will,Estate at sufferance,b,,PREP FL 8.27
"When a single individual or entity owns a fee or life estate in a real property, the type of ownership is",tenancy in severalty,tenancy by the entireties,absolute fee simple,legal fee simple,a,,PREP FL 8.28
"Three people have identical rights but unequal shares in a property, share an indivisible interest, and may sell or transfer their interest without consent of the others. This type of ownership is",joint tenancy,equal ownership,tenancy in common,estate in severalty,c,,PREP FL 8.29
"The ""four unities"" required to create a joint tenancy include which of the following conditions?",Parties must acquire respective interests at the same time,Parties must be legally married at the time of acquiring interest,Parties must be family members,Parties must have joint financial resources,a,,PREP FL 8.30
"Unlike tenants in common, joint tenants",own distinct portions of the physical property,cannot will their interest to a party outside the tenancy,may own unequal shares of the property,cannot sell their interest to outside parties,b,,PREP FL 8.31
The distinguishing features of a condominium estate are,ownership of a share in an association that owns one's apartment,tenancy in common interest in airspace and common areas of the property,fee simple ownership of the airspace in a unit and an undivided share of the entire property's common areas,fee simple ownership of a pro rata share of the entire property,c,,PREP FL 8.32
Who owns the property in a time-share estate?,Ownership is shared by the developer and the broker,The property is owned by tenants in common or by a freehold owner who leases on a time-share basis,A real estate investment trust holds a fee simple estate,A general partner holds a fee simple interest and interval estates are owned by limited partners,b,,PREP FL 8.33
Which of the following is true of a cooperative?,A cooperative may hold an owner liable for the unpaid operating expenses of other owners,The owners have a fee simple interest in the airspace of their respective apartments,Owners may retain their apartments even if they sell their stock in the cooperative,The proprietary lease is guaranteed to have a fixed rate of rent over the life of the lease term,a,,PREP FL 8.34
One difference between a cooperative estate and a condominium estate is that,"a default by a coop owner may cause a foreclosure on the entire property instead of just a single unit, as with a condominium",the condominium owner must pay expenses as well as rent,the coop owner owns stock and a freehold real estate interest whereas the condominium owner simply owns real estate,the condominium owner owns the common elements and the airspace whereas the coop owner only owns the apartment,a,,PREP FL 8.35
"Which disclosure requirement is consistent for condominiums, cooperatives, and HOAs?",Budget estimates,Right to cancel,Exchange program membership,No guaranteed selling price,b,,PREP FL 8.36
Which type of sale allows a 10-day right to cancel?,Homeowners’ Association,Condominium,Cooperative,Timeshare,d,,PREP FL 8.37
Which sale requires a Governance Form to be provided to buyers?,Condominium resales,Timeshare sales,Cooperative initial sales,HOA unit sales,a,,PREP FL 8.38
Which sale requires a disclosure summary?,CDD,HOA,Timeshare,Cooperative,b,,PREP FL 8.39
"Which of the following best describes the concept of ""legal title"" to real estate?""",Ownership of the bundle of rights to real estate,The right of a buyer or lender to obtain ownership under certain circumstances,Possession of a deed,Absolute proof of ownership of real estate,a,,PREP FL 9.1
"A person claims ownership of a parcel of real estate to a prospective buyer, stating that she has lived on the property for five years and nobody has ever bothered her. The claimant also shows the buyer a copy of the deed. The legal basis of this claim is referred to as",prescriptive notice,constructive notice,hostile notice,actual notice,d,,PREP FL 9.2
Constructive notice of ownership of a parcel of real estate is primarily demonstrated through,direct inspection to see who is in possession,title insurance,title records,a construction permit,c,,PREP FL 9.3
An owner transfers title to a property to a buyer in exchange for a consideration. This is an example of,voluntary alienation,escheat,hypothecation,estoppel,a,,PREP FL 9.4
"For a deed to convey title, it is necessary for the deed to be",on a standard form,certified by the grantor,accepted by the grantee,signed by the grantee,c,,PREP FL 9.5
The only required clause in a deed of conveyance is one that,states restrictions and limitations to the estate being conveyed,states the parties and the type of estate being conveyed,states that the grantor has done nothing to impair title to the property being conveyed,"states the grantor's intention, names the parties, describes the property, and indicates a consideration",d,,PREP FL 9.6
The purpose of a covenant clause in a deed of conveyance is to,state the grantor's assurance or warrant to the grantee that a certain condition or fact concerning the property is true,state the grantee's promise to use the property in a prescribed manner,warrant that the grantor has never encumbered title,describe the consideration that the grantee promises to give in return for title,a,,PREP FL 9.7
The type of statutory deed that contains the most complete protection for the grantee is a,guardian's deed,special warranty deed,general warranty deed,quitclaim deed,c,,PREP FL 9.8
"A person wishes to convey any and all interests in a property to another without making any assurances as to encumbrances, liens, or any other title defects on the property. This party would most likely use which of the following types of deed?",A sheriff's deed,A special warranty deed,A partition deed,A quitclaim deed,a,,PREP FL 9.9
"If a person dies with no legal heirs or relations and has left no valid will, what happens to real property owned by that person?",It is taken by the state according to the process called escheat,It is reconveyed to the previous owner in the chain of title,It is taken by the title insurance company according to the process called involuntary alienation,It is conveyed to the highest bidder at a public auction,a,,PREP FL 9.10
"Just prior to passing away, a person tells two witnesses that she would like her estate to pass to her husband. One witness records the statement and signs his name. This is an example of",an enforceable holographic will,an unenforceable holographic will,an enforceable nuncupative will,an unenforceable nuncupative will,d,,PREP FL 9.11
"If a person having several heirs dies intestate, the property will",pass to heirs by the laws of descent and distribution,escheat to the state,pass to the surviving spouse through elective share,pass to the surviving heirs according to the provisions of the will,a,,PREP FL 9.12
A property owner can avert the danger of losing title by adverse possession by,recording proof of ownership in county title records,inspecting the property and evicting any trespassers found,claiming hostile and notorious possession,filing a claim of right with the county recorder,b,,PREP FL 9.13
"A hermit secretly lives in a cave on a 200-acre property. After twenty years, the person makes a claim of ownership to the property. This claim will likely be",upheld through adverse possession,upheld because of the length of possession,declined through the doctrine of prior appropriation,declined because possession was secretive,d,,PREP FL 9.14
The fundamental purpose of recording instruments that affect real property is to,prove ownership of the property,avoid adverse possession,give constructive notice of one's rights and interests in the property,assemble all relevant documents in a single place,c,,PREP FL 9.15
"What is ""chain of title?""",The list of all parties who have ever owned real estate,The bundle of rights linked to the recorded title to a parcel,A chronology of successive owners of record of a parcel of real estate,Involuntary conveyance of title by statutory rules of descent,c,,PREP FL 9.16
"To be marketable, title must be",registered in Torrens,free of undisclosed defects and encumbrances,abstracted by an attorney,guaranteed by a title certificate,b,,PREP FL 9.17
Which of the following is commonly accepted as the best evidence of marketable?,Signed deed,Title certificate,Title insurance,Attorney's opinion,c,,PREP FL 9.18
Easements and encroachments are types of,lien,deed restriction,encumbrance,appurtenance,c,,PREP FL 9.19
An affirmative easement gives the benefited party,the right to possess a defined portion of another's real property,the right to prevent the owner of a real property from using it in a defined way,the right to a defined use of a portion of another's real property,the right to receive a portion of any income generated by another's real property,c,,PREP FL 9.20
"There are two adjoining properties. An easement allows property A to use the access road that belongs to property B. In this situation, property A is said to be which of the following in relation to property B?",Subservient estate,Servient estate,Senior tenant,Dominant tenement,d,,PREP FL 9.21
Which of the following describes a situation in which an easement might be created against the wishes of the property owner?,The property has been continuously used as an easement with the knowledge but without the permission of the owner for a period of time,"The owner of an adjoining property asks the property owner for an easement, is refused, and then uses the property anyway without the knowledge of the owner",The owner of an adjoining property decides he needs to widen his driveway by sharing his neighbor's driveway and sues in court to create an easement by necessity,The owner of an adjoining property grants an easement to a third party that includes an easement on the first property,a,,PREP FL 9.22
What is the primary danger of allowing an encroachment?,An encroachment automatically grants the benefiting party an easement,The encroached party may be liable for additional real estate taxes to cover the area being encroached upon by the neighboring property,"Over time, the encroachment may become an easement by prescription that damages the property's market value",An encroachment creates a lien,c,,PREP FL 9.23
A property owner who is selling her land wants to control how it is used in the future. She might accomplish her aim by means of,an injunction,a deed restriction,an easement,a land trust,b,,PREP FL 9.24
What distinguishes a lien from other types of encumbrance?,It involves a monetary claim against the value of a property,It lowers the value of a property,It is created voluntarily by the property owner,It attaches to the property rather than to the owner of the property,a,,PREP FL 9.25
"A certain property has the following liens recorded against it: a mortgage lien dating from three years ago; a mechanic's lien dating from two years ago; a real estate tax lien for the current year; and a second mortgage lien dating from the current year. In case of a foreclosure, which of these liens will be paid first?",First mortgage lien,Mechanic's lien,Real estate tax lien,Second mortgage lien,c,,PREP FL 9.26
The lien priority of junior liens can be changed by a lienor's agreement to,forgive portions of the debt,assign the note,foreclose on the note,subordinate,d,,PREP FL 9.27
"Among junior liens, the order of priority is generally established according to",the date of recordation,the amount,the order of disbursement,special agreement among lienees,a,,PREP FL 9.28
"What is meant by a ""lien-theory"" state?",A state in which liens are given priority over other encumbrances,A state in which a mortgagor retains title to the property when a mortgage lien is created,A state in which the holder of a mortgage lien receives title to the mortgaged property until the debt is satisfied,A state in which liens exist in theory but not in practice,b,,PREP FL 9.29
A homeowner has hired a contractor to build a room addition. The work has been completed and the contractor has been paid for all work and materials but fails to pay the lumber yard for a load of lumber. What potential problem may the home owner experience?,The contractor may place a mechanic's lien for the amount of the lumber against the homeowner's real property,The lumber yard may place a vendor's lien against the contractor and the homeowner for the amount of the lumber,The lumber yard may place a mechanic's lien for the amount of the lumber against the homeowner's real property,The homeowner has no liability because the contractor was paid for the lumber,c,,PREP FL 9.30
A property survey reveals that a new driveway extends one foot onto a neighbor's property. This is an example of,a easement appurtenant,an encroachment,an easement by prescription,a party wall easement,b,,PREP FL 9.31
"A property owner has an easement appurtenant on her property. When the property is sold to another party, the easement",terminates,transfers with the property,transfers with the owner to a new property,becomes a lien on the property,b,,PREP FL 9.32
A brick fence straddles the property line of two neighbors. The neighbors agree not to damage it in any way. This is an example of,a party wall,an encroachment,a trade fixture,a deed restriction,a,,PREP FL 9.33
"A property owner allows Betty Luanne to cross his property as a shortcut to her kindergarten school bus. One day the property owner dies. What right was Betty given, and what happens to it in the future?","A personal easement in gross, which continues after the owner's death","An easement by prescription, which continues after the owner's death","A license, which continues after the owner's death","A license, which terminates at the owner's death",d,,PREP FL 9.34
"A court renders a judgment which authorizes a lien to be placed against the defendant's house, car, and personal belongings. This is an example of a",specific judgment lien,general judgment lien,voluntary judgment lien,superior judgment lien,b,,PREP FL 9.35
"If a leased property is being sold, the seller can protect the renter and assure the buyer that the property can continue to be rented by",including a “ sale subject to lease” clause in the contract,appending a copy of the lease to the sale contract,renewing the lease just before completing the sale,obtaining a promissory note to that effect from the buyer,a,,PREP FL 9.36
What is one important difference between a sublease and a lease assignment?,"In an assignment, responsibility for the original lease is transferred completely to the assignee","In a sublease, the original tenant retains primary responsibility for performance of the original lease contract",A sublease does not convey any of the leasehold interest,A sublease conveys the entire leasehold interest,b,,PREP FL 9.37
Which of the following lease types conveys rights other than the rights to exclusive use and occupancy of the entire property?,A rights lease,A percentage lease,A gross lease,A net lease,a,,PREP FL 9.38
An owner leases a property to a business in exchange for rent.  The tenant is required to pay all operating expenses as well.  This is an example of a,proprietary lease,percentage lease,gross lease,net lease,d,,PREP FL 9.39
The percentage lease is most often used by,industrial landlords,retail landlords,residential landlords,office landlords,b,,PREP FL 9.40
Which of the following summarizes the general terms of a ground lease?,"The landlord sells the ground to another, then leases it back","A tenant buys the landlord's ground, then leases the improvements",The landlord leases the ground floor of the building to a commercial tenant,The tenant leases the ground from the landlord and owns the improvements,d,,PREP FL 9.41
Which of the following statements is true?,Property transfers in Florida do not need to be recorded,"When a deed is being transferred, the grantee must sign the deed","If a deed includes the legal description, no parcel identification number is necessary",A deed can be valid with an incorrect parcel identification number on it,d,,PREP FL 9.42
What is the principal purpose underlying legal descriptions of real property?,"To create a consistent, unchanging standard for locating the property",To eliminate all possible boundary disputes,To comply with federal laws,To eliminate cumbersome metes and bounds descriptions,a,,PREP FL 10.1
Which of the following is a distinctive feature of metes and bounds descriptions?,They use meridians and base lines,"They identify an enclosed area, beginning and ending at the same point",They use lot and block numbers.as the street address,They incorporate elevation into the descriptions,b,,PREP FL 10.2
"A certain legal description contains the phrase ""...southeasterly along Happ Road to the stone landmark..."" What kind of description is this?",Plat survey plat of survey is,Government grid,Metes and bounds,Rectangular survey,c,,PREP FL 10.3
The abbreviation POB stands for,perimeter of boundaries,point of beginning,point of bounds,plat of boundary,b,,PREP FL 10.4
What are the approximate dimensions of a township in the rectangular survey system?,Thirty-six miles on a side,Twenty-five square miles,Depends on the state,Six miles by six miles,d,,PREP FL 10.5
The area running north and south between meridians is a,range,township,strip,tier,a,,PREP FL 10.6
The area running east and west between base lines is a,range,tier,parameter,parallel,b,,PREP FL 10.7
How many sections are there in a township?,One,Six,Twelve,Thirty-six,d,,PREP FL 10.8
A section contains how many acres?,640,320,160,40,a,,PREP FL 10.9
How many acres are there in the S 1/2 of the NW ¼ of Section 3?,20 acres,40 acres,80 acres,160 acres,c,,PREP FL 10.10
"If a parcel does not have a lot and block number and is too irregular to be described as a fraction of a section, the legal description",is the street address,will include a metes and bounds description,will use an estimate of the sectional fraction,will create a special reference number,b,,PREP FL 10.11
The legal description of a parcel in a subdivision that has been recorded with lot and block numbers on a plat of survey is,"the lot and block number, with section, township and meridian references",the standard rectangular survey description,the subdivision plat map,the lot and block number,a,,PREP FL 10.12
A datum is a reference point used for legal descriptions of,agricultural and ranch properties,properties that straddle state boundaries,properties located above or below the earth's surface,irregularly-shaped properties,c,,PREP FL 10.13
What is the purpose of correction lines in surveys?,To fix errors that naturally occur during any survey,To allow true meridians to converge to one common point,To maintain a rectangle survey pattern on the earth’s curvature,To restore east-west section lines to their original spacing,c,,PREP FL 10.14
An assessment roll includes,special features on the property,the property’s value,sales data,the property’s site address,b,,PREP FL 10.15
Which of the following statements is false?,"When preparing for a survey, the surveyor must comply with the state reporting formats",Surveyors must comply with Florida minimum standards for surveys,Surveys are used in creating maps for tax purposes,Surveyors rely strictly on records and plats filed with the county recorder’s office,d,,PREP FL 10.16
An important legal feature of a contract is,"it represents a ""meeting of the minds.""",it must use precise wording in a document,it is not voidable,it can be created only by an attorney,a,,PREP FL 11.1
"According to contract law, every valid contract is also",void,enforceable,enforceable or unenforceable,voidable,c,,PREP FL 11.2
The guardian for a mentally incompetent party enters into an oral contract with another party to buy a trade fixture. This contract,does not meet validity requirements,is possibly valid and enforceable,must be in writing to be valid,is valid but unenforceable,b,,PREP FL 11.3
"A prospective homebuyer submits a signed offer to buy a house with the condition that the seller pays financing points at closing. The seller disagrees, crosses out the points clause, then signs and returns the document to the buyer. At this point, assuming all other contract validity items are in order, the status of the offer is","an accepted offer, therefore a valid contract",an invalid contract,a counteroffer,an invalid offer,c,,PREP FL 11.4
"As part of a construction contract between a contractor and a buyer, the contractor promises to complete construction by November 20. This promise can be construed as",competency on behalf of the contractor,mutual consent,good faith,valuable consideration,d,,PREP FL 11.5
An unscrupulous investor completes a contract with a buyer to sell a property the investor does not own. The sale contract for this transaction,is voidable,must be in writing,is void,is illegal yet potentially enforceable,c,,PREP FL 11.6
"A homeowner encourages an agent to aggressively persuade a buyer to purchase his house by overinflating historical appreciation rates. The agent and the seller agree that 25% annual appreciation would work, even though this figure is four times actual rates. The pitch succeeds, and the seller accepts the buyer's resulting offer. This contract is",enforceable,voidable,void,valid,b,,PREP FL 11.7
The statute of limitations requires that parties to a contract who have been damaged or who question the contract's provisions,must act within a statutory period,"must select a specific, limited course of action for recouping their losses",must arbitrate prior to taking court action,must wait a statutory period before they may take legal action,a,,PREP FL 11.8
The purpose of the Statute of Frauds is to,invalidate certain oral contracts,require certain conveyance-related contracts to be in writing,nullify oral leases and listing agreements,eliminate fraud in real estate contracts,b,,PREP FL 11.9
"A seller immediately accepts a buyer's offer but waits eight days before returning the accepted document to the buyer. Meanwhile, the offer has expired. Which of the following is true?",The buyer is bound to the contract since it was accepted immediately,The buyer has no obligations to the seller whatsoever,The buyer may not rescind the expired offer,The seller may sue for specific performance,b,,PREP FL 11.10
"A buyer agrees to all terms of a seller's offer except price. The buyer lowers the price by $1,000, signs the form, and mails it back to the seller. At this point, the seller's offer",is void,becomes an executory contract,becomes a counteroffer,has been accepted,a,,PREP FL 11.11
"A buyer submits an offer to a seller. Two hours later, the buyer finds a better house, calls the first seller, and withdraws the offer. Which of the following is true?",The buyer may not revoke the offer in such a short period of time,The first seller may sue the buyer for specific performance,"If the seller accepted the offer, the buyer must perform",The original offer is legally extinguished,d,,PREP FL 11.12
Real estate contracts that are not personal service contracts,may be assigned,are not assignable,must be in writing,are exempt from the statute of frauds,a,,PREP FL 11.13
Which of the following contracts must be in writing to be enforceable?,A parol contract,A six-month lease,A two-year lease,An executory contract,c,,PREP FL 11.14
A good example of a unilateral contract is,an option to purchase,a listing agreement,a personal services agreement,a sale contract,a,,PREP FL 11.15
A contract is discharged whenever,there is a cooling period,both parties have signed it,it is performed,the parties agree to their respective promises,c,,PREP FL 11.16
A contract may be defensibly terminated without damages if,it is abandoned by one party,it is impossible to perform,it is deemed to be valid,both parties breach its terms,b,,PREP FL 11.17
A landlord suddenly terminates a tenant's lease in violation of the lease terms. The tenant takes action to compel the landlord to comply with the violated terms. This is an example of a suit for,rescission,specific performance,damages,forfeiture,b,,PREP FL 11.18
"The type of listing that assures a broker of compensation for procuring a customer, regardless of the procuring party, is a(n)",exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,a,,PREP FL 11.19
An owner agrees to pay a broker for procuring a tenant unless it is the owner who finds the tenant. This is an example of a(n),exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,b,,PREP FL 11.20
"A landlord promises to compensate a broker for procuring a tenant, provided the broker is the procuring cause. This is an example of a(n)",exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,c,,PREP FL 11.21
"A property owner agrees to pay a broker a commission, provided the owner receives a minimum amount of proceeds from the sale at closing. This is an example of a(n)",exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,d,,PREP FL 11.22
The most significant difference between an owner representation agreement and a buyer representation agreement is,the client,the commission amount,agency law applications,contract law applications,a,,PREP FL 11.23
A multiple listing authorization gives a broker what authority?,To list the owner's property in a multiple listing service,To sell several properties for the owner at once,To sell or lease the property,To delegate the listing responsibilities to other agents,a,,PREP FL 11.24
"A ""protection period"" clause in an exclusive listing provides that",the owner is protected from all liabilities arising from the agent's actions performed within the agent's scope of duties,the agent has a claim to a commission if the owner sells or leases to a party within a certain time following the listing's expiration,agents are entitled to extend a listing agreement's term if a transaction is imminent,an owner is not liable for a commission if a prospective customer delays in completing an acceptable offer,b,,PREP FL 11.25
"Several buyers are competing for the last available home in a desirable new subdivision. One buyer calls the owner-developer directly on the phone and offers $10,000 over and above the listed price. The developer accepts the offer. At this point,","the parties have a valid, enforceable sale contract on the home","the parties have completed a verbal, executory contract",the parties may not cancel their contract,the developer could not entertain other offers on the property,b,,PREP FL 11.26
"An owner completes a contract to sell her property. Before closing, the seller runs into financial trouble and assigns the contract to her principal creditor. The buyer cries foul, fearing the property will be lost. Which of the following is true?",The buyer can sue the assignee to disallow the illegal assignment,The buyer can take legal action against the assignor,The assignor has completed a legal action,The sale contract is nullified,c,,PREP FL 11.27
"During the executory period of a sale contract, the buyer acquires an equitable title interest in the property. This means that",the buyer can potentially force the seller to transfer ownership,both parties own the property equally,"if contract contingencies are not met, the buyer takes legal title",the buyer owns equity in the subject property to the extent of the funds deposited in escrow,a,,PREP FL 11.28
The purpose of an escrow account is to,entrust deposit monies to an impartial fiduciary,enable the principals to access the funds in escrow without interference from the other party,ensure that the broker receives her commission,prevent the buyer from withdrawing the offer,a,,PREP FL 11.29
"A sale contract contains an open-ended financing contingency: if the buyer cannot obtain financing, the deal is off. Six months later, the buyer still cannot secure financing. Which of the following is true?","The seller may cancel the contract, since it can be ruled invalid","The buyer can continue indefinitely to seek financing, and the seller's property must remain off the market",The seller must return the buyer's deposit,The seller can force a lender to commit to a loan under fair financing laws,a,,PREP FL 11.30
"In the event of a buyer's default, a provision for liquidated damages in a sale contract enables a seller to",sue the buyer for the anticipated down payment,force the buyer to quitclaim equitable title,sue the buyer for all liquid assets lost as a result of the default,claim the deposit as relief for the buyer's failure to perform,d,,PREP FL 11.31
A due-on-sale clause in a sale contract puts parties on notice that,the full price of the property is due the seller at closing,any loans surviving closing become immediately payable,all of the seller's debts must be retired before or upon closing,third-party loans surviving closing may be accelerated by the lender,d,,PREP FL 11.32
A sale contract may specifically deal with tax withholding responsibility if the seller is a foreigner. What is this responsibility?,The buyer must withhold 15% of the purchase price at closing for the seller's capital gain tax payment,The buyer must withhold 15% of the purchase price at closing for the buyer's capital gain tax payment,The seller must withhold 15% of the buyer's funds as a deposit on the buyer's capital gain tax,The seller must withhold 15% of the sale price to pay the seller's capital gain tax,a,,PREP FL 11.33
An important legal characteristic of an option-to-buy agreement is that,"the potential buyer, the optionee, is obligated to buy the property once the option agreement is completed","the optionor must perform if the optionee takes the option, but the optionee is under no obligation to do so",the contract can be executed at no cost to the optionee,it is a bilateral agreement,b,,PREP FL 11.34
"A tenant has an option-to-purchase agreement with the landlord that expires on June 30. On July 1, the tenant frantically calls the landlord to exercise the option, offering the apology that she was busy with a death in the family. Which of the following is true?","Since options contain grace periods, the landlord must sell","The tenant loses the right to buy, but can claim the money paid for the option from the landlord","The landlord does not have to sell, but must renew the option","The option is expired, and the tenant has no rightful claim to money paid for the option",d,,PREP FL 11.35
"A tenant exercises an option to buy a condominium. The landlord agrees, but raises the agreed price by $3,000, claiming financial distress. The landlord does, however, offer the tenant two months of free rent before closing as an offset. Which of the following is true?",The tenant can force the sale at the original terms,The landlord has taken a fully legal action which the tenant must abide by,"The option is null, and the optionee may reclaim any option money paid","The landlord must offer sufficient free rent to equal the $3,000 price increase",a,,PREP FL 11.36
Which of the following is true regarding the legal nature of option contracts?,They are not assignable,"They are enforceable, whether written or oral",They give the optionee an equitable interest in the property,They must be recorded to be valid,c,,PREP FL 11.37
"A landlord promises to compensate a broker for procuring a tenant, provided the broker is the procuring cause. This is an example of a(n)",exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,c,,PREP FL 11.38
Which of the following is NOT a required disclosure when selling a property in Florida?,Flood insurance disclosure,Molly’s Law disclosure,Building code violation disclosure,Property tax disclosure,b,,PREP FL 11.39
What property sales practice changed as a result of Johnson v. Davis?,As Is provision,standardized contract provisions,Caveat emptor,Property tax disclosure,c,,PREP FL 11.40
A homeowner borrows money from a lender and gives the lender a mortgage on the property as collateral for the loan. The homeowner retains title to the property. This is an example of,intermediation,forfeiture,hypothecation,subordination,c,,PREP FL 12.1
Which of the following best expresses the mechanics of a mortgage loan transaction?,The borrower gives the lender a note and a mortgage in exchange for loan funds,The lender gives the borrower a mortgage and receives a note in exchange for loan funds,The borrower receives a note in exchange for a mortgage from the lender,"The lender gives the borrower a note, loan funds and a mortgage",a,,PREP FL 12.2
A lender lends money to a homeowner and takes legal title to the property as collateral during the payoff period. They are in a,title-theory state,lien-theory state,state allowing land trusts,state where hypothecation is illegal,a,,PREP FL 12.3
A lender who charges a rate of interest in excess of legal limits is guilty of,redlining,usury,profit-taking,nothing; there are no legal limits to interest rates,b,,PREP FL 12.4
"A lender is charging 3 points on a $500,000 loan. The borrower must therefore pay the lender an advance amount of","$1,500","$3,000","$15,000","$30,000",c,,PREP FL 12.5
A distinctive feature of a promissory note is that,it is not assignable,it must be accompanied by a mortgage,it is a negotiable instrument,it may not be prepaid,c,,PREP FL 12.6
"When the terms of the mortgage loan are satisfied, the mortgagee",may retain any overage in the escrow account,may inspect the property before returning legal title,may be entitled to charge the borrower a small fee to close the loan,may be required to execute a release of mortgage document,d,,PREP FL 12.7
The process of enforcing a lien by forcing sale of the lienee's property is called,execution,attachment,foreclosure,subordination,c,,PREP FL 12.8
An important difference between a judicial foreclosure and a non-judicial foreclosure is,there is no right to redeem the property in a non-judicial foreclosure,a judicial foreclosure forces a sale of the property,a non-judicial foreclosure ensures that all liens are paid in order of priority,the lienor receives title directly in a non-judicial foreclosure,a,,PREP FL 12.9
A defaulting borrower may avoid foreclosure by giving the mortgagee,a promissory note,a deed in lieu of foreclosure,a redemption notice,a lis pendens,b,,PREP FL 12.10
The person who executes a mortgage is called the,executor,trustor,mortgagor,mortgagee,c,,PREP FL 12.11
Why is mortgage priority important to a mortgage lender?,It establishes the level of lender risk,It determines the importance of the loan in the lender’s portfolio,It reassures the borrower that the lender will give full attention to servicing of the loan,"It makes recording of the loan unnecessary, thereby saving the lender money",a,,PREP FL 12.12
Which laws or regulations require mortgage lenders to disclose financing costs and annual percentage rate to a borrower before funding a loan?,The Equal Credit Opportunity Act,Truth-in-Lending laws,The Real Estate Settlement Procedures Act,Federal Fair Housing Laws,b,,PREP FL 13.1
"Which laws or regulations prevent mortgage lenders from discriminating in extending credit to potential borrowers based on race, color, religion, national origin, sex, marital status, age, and dependency on public assistance?",The Equal Credit Opportunity Act,Truth-in-Lending laws,The Real Estate Settlement Procedures Act,Federal Fair Housing Laws,a,,PREP FL 13.2
Which laws or regulations require mortgage lenders to provide an estimate of closing costs to a borrower and forbid them to pay kickbacks for referrals?,the Equal Credit Opportunity Act,Truth-in-Lending laws,the Real Estate Settlement Procedures Act,Federal Fair Housing Laws,c,,PREP FL 13.3
The Federal Reserve System regulates the money supply in which of the following ways?,"Selling securities, printing money, and controlling lending underwriting requirements","Buying securities, changing the discount rate, and controlling banking reserves","Printing money, changing interest rates, and selling T-bills","Controlling the prime rate, trading securities, and purchasing loans",b,,PREP FL 13.4
One of the primary purposes for the secondary mortgage market is to,cycle funds back to primary lenders so they can make more loans,issue second mortgages and sell them in the home equity market,lend funds to banks so they can make more loans,pay off defaulted loans made by primary mortgage lenders,a,,PREP FL 13.5
The major players in the secondary mortgage market are,"Fannie Mae, Freddie Mac, and Ginnie Mae","Fannie Mae, GMAC, and MGIC","Freddie Mac, FHA, and VA","Fannie Mae, Freddie Mac, and the Federal Reserve",a,,PREP FL 13.6
A principal role of FNMA is to,guarantee FHA-backed and VA-backed loans,insure FHA-backed and VA-backed loans,purchase FHA-backed and VA-backed loans,originate FHA-backed and VA-backed loans,c,,PREP FL 13.7
The primary role of the Federal Housing Authority in the mortgage lending market is to,guarantee loans made by approved lenders,insure loans made by approved lenders,purchase loans made by approved lenders,originate loans made by approved lenders,b,,PREP FL 13.8
The principal role of the Veteran's Administration in the mortgage lending market is to,guarantee loans made by approved lenders,insure loans made by approved lenders,purchase loans made by approved lenders,originate loans made by approved lenders,a,,PREP FL 13.9
A graduated payment loan is a mortgage loan where,loan funds are disbursed to the borrower on a graduated basis,the interest rate periodically increases in graduated phases,the loan payments gradually increase,the loan payments gradually increase and the loan term gradually decreases,c,,PREP FL 13.10
A buydown is a financing arrangement where,the lender lowers the interest rate on a loan in exchange for a prepayment of principal,the borrower pays additional interest at the onset in order to obtain a lower interest rate,the lender requires the borrower to buy down the price of the property by increasing the down payment,the borrower pays the lender additional funds to buy down the term of the loan,b,,PREP FL 13.11
The key feature of an adjustable mortgage loan is that,the interest rate may vary,the monthly payment increases over the life of the loan,the principal balance does not amortize,the loan term can be shortened or lengthened,a,,PREP FL 13.12
One feature of a wraparound mortgage loan is that,the loan is a senior loan,the seller offering the buyer a wraparound can profit from a difference in interest rates,the underlying loan must be retired,the second mortgage borrower may make payments directly to the first mortgage lender,b,,PREP FL 13.13
A builder is required to secure a loan with mortgages on three properties. This is an example of,a participation mortgage loan,a blanket mortgage loan,a permanent mortgage loan,a bridge loan,b,,PREP FL 13.14
Which of the following is true of a loan with negative amortization?,The loan is an interest-only loan,Payments are not sufficient to retire the loan,"The loan balance is diminishing, or going negative",Additional interest is being added to the monthly payment,b,,PREP FL 13.15
"In addition to income, credit, and employment data, a mortgage lender requires additional documentation, usually including",an appraisal report,a criminal record report,a subordination agreement,a default recourse waiver,a,,PREP FL 13.16
The three overriding considerations of a lender's mortgage loan decision are,"points, interest rate, and loan term","the location of the mortgaged property, the borrower's cash, and the amount of the borrower's equity","the ability to re-pay, the value of the collateral, and the profitability of the loan","the amount of the loan, the borrower's income, and the down payment",c,,PREP FL 13.17
