Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
What drives demand for real estate of all types?,Stock market,Employment,Tourism,Neighborhood quality,2,,FREPSA Quiz 9.16.
Two similar parcels of real estate generally have ___________ because of the uniqueness of real property,comparable,increasing values,differing values,homogeneous values,3,,FREPSA Quiz 9.17.
"As a component of real estate value, the principle of substitution suggests that","if two similar properties are for sale, a buyer will purchase the cheaper of the two","if one of two adjacent homes is more valuable, the price of the other home will tend to rise","if too many properties are built in a market, the prices will tend to go down",people will readily move to another home if it is of equal value,1,,FREPSA Quiz 10.1.
Highest and best use of a property is that use which,"is physically and financially feasible, legal, and the most productive","is legal, feasible, and deemed the most appropriate by zoning authorities",entails the largest building that zoning ordinances will allow developers to erect,conforms to other properties in the area,1,,FREPSA Quiz 10.2.
The concept of market value is best described as,"the price a buyer will pay for a property, assuming other similar properties are within the same price range","the price an informed, unhurried seller will charge for a property assuming a reasonable period of exposure with other competing properties","the price a buyer and seller agree upon for a property assuming stable interest rates, appreciation rates, and prices of other similar properties","the price that a willing, informed, and unpressured seller and buyer agree upon for a property assuming a cash price and the property's reasonable exposure to the market",4,,FREPSA Quiz 10.3.
A significant difference between an appraisal and a broker's opinion of value is,the appraiser tends to use only one or two of the approaches to value,the broker may not be a disinterested party,the broker is subject to government regulation in generating the opinion,the appraiser uses less current market data,2,,FREPSA Quiz 10.4.
A notable weakness of the sales comparison approach to value is that,there may be no recent sale price data in the market,the approach is not based on the principle of substitution,"the approach is only accurate with unique, special purpose properties","sale prices cannot be compared, since all real estate is different",1,,FREPSA Quiz 10.5.
The steps in the market data approach are,"choose nearby comparables, adjust the subject for differences, estimate the value","gather relevant price data, apply the data to the subject, estimate the value","select comparable properties, adjust the comparables, estimate the value","identify previous price paid, apply an appreciation rate, estimate the value",3,,FREPSA Quiz 10.6.
"In the sales comparison approach, an adjustment is warranted if",the buyer obtains conventional financing for the property,the seller offers below-market seller financing,"a comparable is located in another, albeit similar neighborhood",one property has a hip roof and the other has a gabled roof,2,,FREPSA Quiz 10.7.
"To complete the sales comparison approach, the appraiser",averages the adjustments,weights the comparables,discards all comparables having a lower value,identifies the subject's value as that of the nearest comparable,2,,FREPSA Quiz 10.8.
One weakness of the cost approach for appraising market value is that,builders may not pay market value for materials or labor,market value is not always the same as what the property cost,comparables used may not have similar quality of construction,new properties have inestimable costs and rates of depreciation,2,,FREPSA Quiz 10.9.
The cost of constructing a functional equivalent of a subject property is known as,reproduction cost,replacement cost,restitution cost,reconstruction cost,2,,FREPSA Quiz 10.10.
An office building lacks sufficient cooling capability to accommodate modern computer equipment. This is an example of,physical deterioration,economic obsolescence,incurable depreciation,functional obsolescence,4,,FREPSA Quiz 10.11.
A home is located in a neighborhood where homeowners on the block have failed to maintain their properties. This is an example of,curable external obsolescence,incurable economic obsolescence,functional obsolescence,physical deterioration,2,,FREPSA Quiz 10.12.
"In appraisal, loss of value in a property from any cause is referred to as",deterioration,obsolescence,depreciation,deflation,3,,FREPSA Quiz 10.13.
The first two steps in the cost approach are to estimate the value of the land and the cost of the improvements. The remaining steps are,"estimate depreciation, subtract depreciation from cost, and add back the land value","subtract deterioration from cost, estimate land depreciation, and total the two values","estimate depreciation of land and improvements, subtract from original cost","estimate obsolescence, subtract from the cost of land and improvements",1,,FREPSA Quiz 10.14.
"The roof of a property cost $10,000. The economic life of the roof is 20 years. Assuming the straight-line method of depreciation, what is the depreciated value of the roof after 3 years?","$10,000","$8,500","$7,000","$1,500",2,,FREPSA Quiz 10.15.
The income capitalization approach to appraising value is most applicable for which of the following property types?,Single family homes,Apartment buildings,Undeveloped land,Churches,2,,FREPSA Quiz 10.16.
The steps in the income capitalization approach are:,"estimate gross income, multiply times the gross income multiplier","estimate effective income, subtract tax, apply a capitalization rate","estimate net income, and apply a capitalization rate to it","estimate potential income, apply a capitalization rate to it",3,,FREPSA Quiz 10.17.
Net operating income is equal to,gross income minus potential income minus expenses,effective gross income minus debt service,potential gross income minus vacancy and credit loss minus expenses,effective gross income minus vacancy and credit loss,3,,FREPSA Quiz 10.18.
"If net income on a property is $20,000 and the cap rate is 5%, the value of the property using the income capitalization method is","$100,000","$400,000","$1,000,000","$4,000,000",2,,FREPSA Quiz 10.19.
The principal shortcoming of the gross rent multiplier approach to estimating value is that,numerous expenses are not taken into account,the multiplier does not relate to the market,the method is too complex and cumbersome,the method only applies to residential properties,1,,FREPSA Quiz 10.20.
"If the monthly rent of a property is $3,000, and the gross rent multiplier (GRM) is 80.  The formula for value using the GRM is (gross rent x multiplier = value)  Therefore , what is the value of the property?","$45,000","$240,000","$267,000","$288,000",2,,FREPSA Quiz 10.21.
"If total adjustments create a large dollar amount between the sale price and the adjusted value, the comparable is _____ indicator of value",a better,a perfect,a poorer,not an,3,,FREPSA Quiz 10.22.
The principle of _______ focuses on the degree to which a particular improvement affects market value of the overall property,highest and best,contribution,change,conformity,2,,FREPSA Quiz 10.23.
What supply-demand conditions indicate a scarcity in available properties?,When supply exceeds demand,When real estate values drop,When demand and supply are equivalent,When demand exceeds supply,4,,FREPSA Quiz 10.24.
Which value principle states that there is a use for a property that produces the greatest income and return?,Anticipation principle,Progression principle,Highest and best use principle,Income principle,3,,FREPSA Quiz 10.25.
"All investors desire their investments to increase in value. However,",the degree of return is inversely related to the degree of risk,"the more the investor stands to gain, the greater the risk that the investor may lose",investments requiring intense management have lesser returns,"the more liquid an investment is, the greater the chances are that the investment will not appreciate",2,,FREPSA Quiz 11.1.
Two of the rewards that investments offer are,income and tax benefits,negative leverage and appreciation,appreciation and taxation,positive leverage and prestige,1,,FREPSA Quiz 11.2.
An investor invests in fifteen diversified bond funds. This is an example of an investment in,money,equity,debt,real estate,3,,FREPSA Quiz 11.3.
"A real estate investment can take a long period of time to sell. For the investor, this means that real estate is",management intensive,insensitive to marketing,vulnerable to seller's markets,relatively illiquid,4,,FREPSA Quiz 11.4.
"Compared to a stock portfolio, a real estate investment would be considered",a riskier investment,a more management-intensive investment,a shorter-term investment,a more leveraged investment,2,,FREPSA Quiz 11.5.
"Six investors purchase a shopping center. One investor manages the tenants and another handles the marketing and leasing. Two investors manage accounting and finance, and the remaining two run the management office. This is a possible example of",a general partnership,a limited partnership,a real estate investment trust,an investment conduit,1,,FREPSA Quiz 11.6.
Taxable income produced by an income property is,gross income minus expenses plus land and building depreciation,gross income minus expenses minus land and building depreciation,gross income minus building depreciation plus land depreciation,gross income minus expenses minus building depreciation,4,,FREPSA Quiz 11.7.
"As a general rule, in deriving taxable income on an investment property, it is legal to",deduct principal and interest payments from income,deduct principal payments from income,deduct interest payments from income,deduct principal and interest payments from income and capital gain,3,,FREPSA Quiz 11.8.
Which of the following is true of the tax treatment of a principal residence?,The owner may deduct the property's interest and principal from ordinary income,The owner may depreciate the property and deduct depreciation expenses,The owner can deduct any capital gain when the property is sold,The owner may be able to exclude capital gain from taxable income when the property is sold,4,,FREPSA Quiz 11.9.
"An investment property seller pays $14,000 in closing costs. These costs",may be deducted from personal income,may be deducted from the property's income,may be deducted from the sale price for gains tax purposes,may be deducted from the adjusted basis for gains tax purposes,3,,FREPSA Quiz 11.10.
Capital gain tax is figured by multiplying one's tax bracket times,the sum of the beginning basis plus gain,the difference between net sale proceeds and adjusted basis,the sum of net sale proceeds and capital gain,the difference between net sale proceeds and capital gain,2,,FREPSA Quiz 11.11.
Cash flow is a measure of how much pre-tax or after-tax cash an investment property generates. To derive cash flow it is therefore necessary to exclude,cost recovery expense,interest expense,loan principal payments,net operating income,1,,FREPSA Quiz 11.12.
One way investors measure the yield of an investment is by,dividing net operating income by cash flow,multiplying the investor's required yield times after-tax cash flow,dividing cash flow by the investor's equity,multiplying cash flow times the price paid for the property,3,,FREPSA Quiz 11.13.
What is synonymous with depreciation?,Obsolescence,Capital gain,Gain on sale,Cost recovery,4,,FREPSA Quiz 11.14.
The basic formula for adjusted basis is:   Beginning basis + capital improvements -_______________,Depreciation,Cash and debt obligations,Legal and recording fees,Appreciation,1,,FREPSA Quiz 11.15.
Tax law provides an exclusion of ______ for an individual taxpayer and ______ for married taxpayers filing jointly,"$100,000; $500,000","$250,000; $500,000","$150,000; $600,000","$300,000; $600,000",2,,FREPSA Quiz 11.16.
What is total appreciation?,It is an increase over the current price found by dividing the estimated total appreciation by the original price,It is a percentage increase over the original price found by dividing the estimated total appreciation by the current price,It is a percentage increase over the original price found by dividing the estimated total appreciation by the original price,It is an increase over the original price found by dividing the estimated total appreciation by the current price,3,,FREPSA Quiz 11.17.
What is another name for a tax-deferred exchange?,Starker 1031 exchange,Section 1060 exchange,Capital gains exchange,Gain on sale exchange,1,,FREPSA Quiz 11.18.
What will likely happen if a homeowner lets his or her homeowners’ insurance coverage lapse?,The mortgage lender will place coverage on the home,The mortgage lender will foreclose on the home,The home will not be protected if there is a flood,The homeowner will not be allowed to purchase a new policy,1,,FREPSA Quiz 12.1.
"Depending on a home’s location, a mortgage lender may require the borrower to carry",liability insurance,health insurance,personal property insurance,flood insurance,4,,FREPSA Quiz 12.2.
Which of the following would NOT be handled by an independent insurance agent?,Comparison shopping for policy terms and prices,Providing loss prevention advice,Helping with a loss or claim,Offering coverage from a company who only employs its own agents,4,,FREPSA Quiz 12.3.
"If a homeowner wanted coverage for his home and all structures on the property as well as coverage in case a visitor is injured on his property, what type of policy should he buy?",Dwelling,Monoline,Package,Liability,3,,FREPSA Quiz 12.4.
Which homeowners’ policy covers condominiums?,HO-3,HO-4,HO-5,HO-6,4,,FREPSA Quiz 12.5.
Which homeowners’ policy covers older homes with replacement costs higher than the home's market value?,HO-4,HO-5,HO-8,HO-6,3,,FREPSA Quiz 12.6.
Which homeowners’ policy is also known as renters’ insurance?,HO-1,HO-3,HO-4,HO-5,3,,FREPSA Quiz 12.7.
Which of the following is a true statement about the “80% rule” for homeowner’s policies?,80% of replacement value is the maximum an insurance company will pay,"If insured for less than 80% of replacement cost, a home’s coverage will include a deduction for depreciation","If insured for 80% of replacement cost, a home is covered for the full cost of replacement",Insurance companies will not insure residences for less than 80% of their replacement cost,2,,FREPSA Quiz 12.8.
A limitation of coverage on an insurance policy is called a(n),deductible,condition,exclusion,package,3,,FREPSA Quiz 12.9.
Which of the following is not covered in the standard HO-1 policy?,Damage caused by terrorism,Damage caused by aircraft,Damage caused by cars,Damage caused by earthquakes,4,,FREPSA Quiz 12.10.
Flood insurance,is a regular part of all homeowners’ policies,can only be purchased from FEMA,is paid by the state for property in a flood zone,is required in high-risk flood hazard areas for properties finances by federally backed mortgage loans,4,,FREPSA Quiz 12.11.
Which of the following is NOT true regarding flood insurance,Flood insurance is purchased from the same providers as homeowners’ insurance,Flood insurance is sold by the NFIP,Flood insurance may be required by mortgage lenders for properties in the SFHA,Flood insurance is designed to reduce the impact of flooding on public and private buildings,2,,FREPSA Quiz 12.12.
Brokers should do all of the following EXCEPT,assist clients with determining if a property is located in a flood zone,omit information indicating a property is in a flood zone because it is the buyer’s responsibility to discover during the DDP,ask a seller client if the client’s property is covered by flood insurance,check flood maps and be familiar with the flood zones in their market area,2,,FREPSA Quiz 12.13.
Insurance companies may remove coverage for certain perils when a commercial property has been vacant for,one year,120 days,90 days,60 days,4,,FREPSA Quiz 12.14.
All of the following can impact the insurability of a property EXCEPT,certain dog breeds,presence of a metal roof,claims filed by the owner,claims filed on the property,2,,FREPSA Quiz 12.15.
An unoccupied property is different from a vacant property in that,the water is still turned on,the property is rented for at least a year,the property is furnished so the owners could return at any time,the property has been condemned by the city,3,,FREPSA Quiz 12.16.
The CLUE report,is required to be purchased along with homeowners’ insurance,"goes back for up to seven years, listing both personal property and personal auto claims",is short for the comprehensive loss underwriting event report,is available for free from the FEMA website,2,,FREPSA Quiz 12.17.
A homeowner who allows the buyer to move in early (early possession) should,purchase a renter’s policy,add an exclusion to the homeowner’s HO-3 policy,cancel the homeowner’s insurance three days after the buyer takes early possession,purchase a landlord’s policy,4,,FREPSA Quiz 12.18.
Insurance policies can either be package or ______ policies,personal property,monoline,all coverage,dwelling,2,,FREPSA Quiz 12.19.
The Special Flood Hazard Area (SFHA) has a ____ annual chance of flooding,1%,5%,90%,99%,1,,FREPSA Quiz 12.20.
"Of the following risk management strategies, the one that aims at minimizing both the severity and the likelihood of loss is",avoidance,reduction,transference,retention,2,,FREPSA Quiz 13.1.
Insurance is a method of,risk elimination,risk mitigation,risk outsourcing,risk acceptance,3,,FREPSA Quiz 13.2.
How does disclosure manage risk?,It deflects and reduces risk by preventing others from claiming they were misled,It eliminates the risk of committing an error,It accepts the risk of revealing confidential information,It transfers the risk of a code violation to the client,1,,FREPSA Quiz 13.3.
Which of the following statements about a company procedures manual as a risk management device is true?,It places all the responsibility for compliance on the broker,It relieves the licensee of responsibility for knowing and obeying the law,It can be a guide to compliance with the law,It adds to the risk of misleading the public,3,,FREPSA Quiz 13.4.
In what sense is the use of standardized forms a risk management procedure?,It eliminates the risk of being unable to draft a contract correctly,It reduces the risk of losing a client by having to make a referral to an attorney,It reduces the risk of committing an unauthorized practice of law,It eliminates the risk of wasting valuable time in creating custom forms,3,,FREPSA Quiz 13.5.
"Keeping thorough records of every transaction is not only a risk management technique, it is",good for company morale,necessary for obtaining market share,a technique for discovering market trends,a legal requirement,4,,FREPSA Quiz 13.6.
Which of the following communication records must (as opposed to should) be kept?,Notes on every conversation,Copies of required communications to principals,Notes from company training sessions,Business cards of licensees one meets at open houses,2,,FREPSA Quiz 13.7.
The standard E & O policy covers damages resulting from,failure to disclose an environmental condition,antitrust violations,mishandling of earnest money deposits,"negligence, error or omission in carrying out professional services",4,,FREPSA Quiz 13.8.
Which of the following is a common risk relating to the agency relationship?,Failing to inform and disclose properly,Failing to take a personal interest in a transaction,Acting as an exclusive agent without an oral agency agreement,Forgetting to record the listing agreement,1,,FREPSA Quiz 13.9.
"Even after giving buyer and seller the required information about property condition disclosures, the licensee may still be subject to legal action for",failing to detect customer misrepresentations,failing to disclose known adverse facts,relying on publicly available market information,advising the purchaser to exercise due diligence,2,,FREPSA Quiz 13.10.
"In performing a comparative market analysis, a licensee must be careful to","use the term ""market value"" whenever possible in the report",show a low suggested selling price to avoid a complaint of misrepresenting the value,include the results of a certified appraisal in the analysis,avoid creating a false impression that the licensee is a certified appraiser,4,,FREPSA Quiz 13.11.
"In fulfilling a listing agreement, one of the major risk areas is",finding a buyer who turns out to be unqualified,exceeding the authority of the agreement,showing the property without the presence of the owner,cooperating with other licensees,2,,FREPSA Quiz 13.12.
A simple way of reducing the risk of committing an error or omission in the contracting process is,"use a checklist of all items, contingencies, dates and responsibilities that must be met",delegate some of your responsibilities to the licensee who represents the other party in the contract,call the buyer and seller daily to check on progress,cut the list of necessary tasks down to a few essentials and concentrate on tracking those,1,,FREPSA Quiz 13.13.
"Regarding contracts and forms,",once written and signed they cannot be changed except by a lawyer,real estate licensees may alter forms but not contracts,whoever originates them can make changes without the risk of unauthorized practice of law,the principals may make changes as long as they sign or initial each change,4,,FREPSA Quiz 13.14.
The best way to minimize the risk of violating fair housing laws is to,deal only with consumers who do not belong to a protected class,obtain education in the content and intent of the laws,make sure there is always a witness present at all meetings with consumers,stay away from transactions involving public housing,2,,FREPSA Quiz 13.15.
A licensee risks violating antitrust law by,being present at a conversation where the setting of commission rates is discussed,being present at a discussion of antitrust laws,charging a commission rate that happens to be the same as that charged by another firm,cooperating with another firm to do market research,1,,FREPSA Quiz 13.16.
How is an intentional misrepresentation penalized?,"License discipline, fines, and possible incarceration","License discipline and fines, but no incarceration",License discipline only,Fines only,1,,FREPSA Quiz 13.17.
All of the following are areas of risk for unintentional misrepresentation EXCEPT,measuring and reporting property dimensions,describing properties and amenities,stating that a client should seek legal counsel,making statements about the presence or absence of hazardous substances,3,,FREPSA Quiz 13.18.
"To reduce risks inherent in reporting transaction progress to a client, the licensee should","make reports orally only, never in writing",leave progress reporting to the inspectors and other experts,advise the client that it is company policy to make no progress reports until the contingency period is over,avoid statements of opinion and speculation in all reports,4,,FREPSA Quiz 13.19.
How does sharing the qualifying function with a lender protect a licensee?,It guarantees that a buyer will have a loan,It reduces the chance of presenting an offer from an unqualified buyer,It relieves the licensee of his or her due diligence responsibilities,It allows the licensee to avoid asking embarrassing questions,2,,FREPSA Quiz 13.20.
General liability insurance coverage does not cover ________,professional liability,risks incurred by property owner when public enters his or her property,public liability,medical expenses resulting from owner negligence,1,,FREPSA Quiz 13.21.
The insurance coverage needed if an employee is injured at work is called ______,casualty insurance,consequential loss,workers’ compensation,injury insurance,3,,FREPSA Quiz 13.22.
A surety bond provides coverage against losses resulting from negligent or _____ acts of an employee,dangerous,harmful,medical,criminal,4,,FREPSA Quiz 13.23.
How long should a licensee maintain client confidentiality regarding their listing agreement?,Up until the listing agreement is terminated,Forever,180 days after a listing agreement is ended,90 days after the listing agreement ends,2,,FREPSA Quiz 13.24.
Why is the time period of contingencies critical?,Because of the “time is of the essence” clause,Because there are deadlines,It does not matter,Because transactions have to close quickly,1,,FREPSA Quiz 13.25.
Property managers have a _______ relationship with the property owner,non-binding,partnership,fiduciary,subagency,3,,FREPSA Quiz 14.1.
One of the property manager’s fundamental responsibilities is,obtaining construction loans for the principal,financial reporting to the principal,finding a buyer for the property,maintaining good standing in a managers’ professional association,2,,FREPSA Quiz 14.2.
Effective gross income is defined as,the total of scheduled rents,the total of all rents and revenues generated by a property,potential gross income minus debt service and reserves,"revenue from all sources minus losses from uncollected rents, vacancies, and evictions",4,,FREPSA Quiz 14.3.
The efficiency of marketing activities can be measured in terms of,cost per tenant prospect generated per lease,number of ads produced per marketing dollar,dollars expended per square foot of vacant space,percentage of reserves expended on marketing,1,,FREPSA Quiz 14.4.
"If a property’s vacancy rate is significantly lower than market rates, it may be a sign that the manager needs to",lower rental rates,raise rental rates,find better tenants,improve management quality,2,,FREPSA Quiz 14.5.
Why does a manager need to keep tenants happy?,Happy tenants make fewer demands for services,Managers are contractually required to please tenants,Unhappy tenants make the owner look bad,High tenant turnover increases expenses and reduces profits,4,,FREPSA Quiz 14.6.
What are the three kinds of maintenance a manager has to carry out for a managed property?,"Constructive, deconstructive, and reconstructive","Routine, preventive, and corrective","Scheduled, planned, and improvised","Emergency, elective, and optional",2,,FREPSA Quiz 14.7.
The Americans with Disabilities Act requires property managers to,ensure that disabled employees have the same level of access to facilities that all employees have,hire the disabled whenever possible,"remove all existing barriers to the free movement of disabled persons within the property, regardless of the cost",remodel the ground floor of the property in accordance with ADA standards if it was built before 1978,1,,FREPSA Quiz 14.8.
Which of the following statements about the property manager’s responsibility for security and safety is true?,The manager has no responsibilities for building safety beyond ensuring that fire doors and sprinklers are working,The manager’s security responsibilities are limited to the common areas,"A court may hold the manager responsible for the physical safety of tenants, employees, and customers in leased premises",The manager’s security responsibilities are limited to tenants and their employees in their leased premises,3,,FREPSA Quiz 14.9.
Commercial fire and hazard insurance policies usually require coverage to equal at least 80 percent of the property’s,replacement value,reproduction value,original cost,depreciated basis,1,,FREPSA Quiz 14.10.
Trust funds to be handled by a property manager are likely to include all of the following except,rents collected from tenants,cash for the management firm’s operating expenses,security deposits,capital contributions from the property owner,2,,FREPSA Quiz 14.11.
What kind of agency is commonly created by a management agreement?,Universal,Specific,General,Vicarious,3,,FREPSA Quiz 14.12.
"The rights, duties, and liabilities of the landlord and manager are",apportioned under the terms of the management contract,dictated by common law,identical,regulated by the Universal Landlord Tenant Relations Act,1,,FREPSA Quiz 14.13.
Which of the following describes a gross lease?,The tenant pays a base rent plus some or all of the operating expenses,"The tenant pays a fixed rent, and the landlord pays all operating expenses",The tenant pays a base rent plus an amount based on income generated in the leased space,The tenant pays a rent that increases at specified times over the lease term,2,,FREPSA Quiz 14.14.
"If an apartment contains a refrigerator that is not included in the lease,",the lessee is required to buy it from the landlord,the landlord is required to remove it,the lease is invalidated because of an incomplete property description,the property manager does not have to maintain it,4,,FREPSA Quiz 14.15.
A basic responsibility of a landlord is to,provide leased space at market rental rates,deliver a habitable property,keep the rental space freshly painted,refrain from entering the leased space at any time during the lease term,2,,FREPSA Quiz 14.16.
How does a constructive eviction occur?,A landlord obtains a court order to force the tenant to vacate the leased premises,A court officer forcibly removes the tenant from the premises,A tenant declares a landlord in default and vacates the leased premises,A landlord declares a tenant in default and takes possession of the leased premises,3,,FREPSA Quiz 14.17.
Among the essential elements of a management plan is consideration of,the competitive market for the property,the property manager’s career goals,the property owner’s net worth,the management firm’s income goals,1,,FREPSA Quiz 14.18.
A ______ manages a property for one or more owners,building manager,maintenance manager,property manager,rental agent,3,,FREPSA Quiz 14.19.
The Equal Credit Opportunity Act ensures that,all property managers evaluate potential tenants fairly and equally,less-qualified tenants be given easier application guidelines,all real estate agents treat clients equally,applicants get different opportunities based on their credit score tiers,1,,FREPSA Quiz 14.20.
"If a landlord wants to evict a tenant, their first step is to _____.",have a court issue a judgment for possession,serve notice on the tenant a specified number of days before beginning the eviction suit,require the tenant to vacate,have a sheriff forcibly remove a tenant,2,,FREPSA Quiz 14.21.
A resident manager typically ______.,lives on the property,manages a single large property,prepares retail leases for their tenants,manages commercial properties,1,,FREPSA Quiz 14.22.
What happens to a lease if the landlord dies during the lease term?,The lease will keep going no matter what,The lease will terminate 180 days after the death,The lease will be terminated if it was leased under a life estate,The lease will remain intact and the tenant will receive their security deposit back early,3,,FREPSA Quiz 14.23.
Which of the following is a tenant’s responsibility?,Repair roof leaks,Keep the electrical systems in working order,Provide pest control,Use the property and the rooms only for their intended purposes,4,,FREPSA Quiz 14.24.
A tenant must give a _____ notice when terminating a month-to-month lease,60-day,30-day,90-day,14-day,2,,FREPSA Quiz 14.25.
You pass by a house with a prominent roof and large overhangs- what architectural style is this?,Cape cod,Georgian,Contemporary,Bungalow,4,,FREPSA Quiz 15.1.
What type of roof is not suitable for shingles?,Flat,Gothic,Felt,Pitched,1,,FREPSA Quiz 15.2.
A ____ recirculates heated air,heat pump,return,steam pump,hot water heater,1,,FREPSA Quiz 15.3.
Which plumbing material is now considered hazardous?,PVC,Lead,Copper,Cast iron,2,,FREPSA Quiz 15.4.
What is the front face of a building called?,Fascia,Drywall,Facade,Bearing wall,3,,FREPSA Quiz 15.5.
A horizontal timber component of a ceiling is also called a _____,dormer,beam,post,both b and c,2,,FREPSA Quiz 15.6.
Which door is typically used for a closet?,Bifold door,French door,Dutch door,None of the above,1,,FREPSA Quiz 15.7.
A ______ style home typically has a red tile roof,Queen Anne,Spanish mission,Mansard,Prairie,2,,FREPSA Quiz 15.8.
What is a box that protects wire connections?,Outlet box,Fire box,Vent stack box,Power box,1,,FREPSA Quiz 15.9.
What is a tube that carries water away from the foundation footing called?,Downspout,Soil pipe,Drain tile,Vent pipe,3,,FREPSA Quiz 15.10.
"An electrician is looking to insulate his electrical work, what should he use?",Asbestos,Vapor barrier,Copper,Plumber’s tape,1,,FREPSA Quiz 15.11.
What is a U-shaped section of a drain pipe?,Trap,Soil pipe,Sump pump,Cleanout,1,,FREPSA Quiz 15.12.
What is a cement based material used as an non-load bearing exterior covering?,Wainscoting,Spanish tile,Stucco,Reinforced brick,3,,FREPSA Quiz 15.13.
A ______ is a framework of rafters and connecting beams installed as a unit to support part of a roof and tie together the opposite walls,truss,membrane,valley,gambrel,1,,FREPSA Quiz 15.14.
What is a grating in a wall or floor used for airflow in heating or cooling of a home?,Register,An HVAC return,Pump,Vent-stack covering,2,,FREPSA Quiz 15.15.
The unique legal aspect about a listing agreement is that it,confers a broad scope of authority to the agent in representing the client,is the instrument that grants the agent the power to contract on behalf of the client,is governed by both agency law and contract law,enables the licensee to sidestep fiduciary duties,3,,FREPSA Quiz 16.1.
Residential brokers prefer the exclusive listing because,they will get paid regardless of who sells the property,they can let other brokers undertake the lion’s share of the marketing effort,they will receive the difference between the seller’s desired net and the selling price,"the preferred listing, the net listing, is illegal in Florida",1,,FREPSA Quiz 16.2.
"The more experienced the sales associate, the more such associate is able to rely on",referrals to generate listings,the effectiveness of web advertising,his or her credibility in representing the firm,market conditions and interest rates to maximize income,1,,FREPSA Quiz 16.3.
Which of the following best expresses the goal of prospecting for listings?,To get a signed offer to purchase,To get a listing presentation,To negotiate a fair price for the property,To find someone who is selling his or her property,2,,FREPSA Quiz 16.4.
Which of the following is a high-priority activity in marketing listings?,Conducting weekly open houses,Showing prospects as many properties as possible in a given time period,Showing only your listings to buyers to maximize your income,Showing properties that match the customer’s requirements,4,,FREPSA Quiz 16.5.
How would you go about determining the value of the seller’s property?,By identifying the net proceeds the seller must receive from the sale,By arriving at a price based on amount of the mortgage payoff,By determining how much the property has appreciated in value since it was purchased,By relying on an analysis of comparable properties which have recently sold in the same neighborhood,4,,FREPSA Quiz 16.6.
"Once a buyer’s offer is received, it is the sales associate’s responsibility to",Determine whether the offer is sufficient to be presented to the seller,Determine the best time during the work week to present the offer,Determine whether it is in the seller’s best interest to reject or accept the offer,Determine the earliest possible time to present the offer regardless of its merits,4,,FREPSA Quiz 16.7.
Which of the following brokerage agreement offers the brokerage firm the fullest protection regarding the payment of compensation in the event that the seller sells to a neighbor?,Open listing,Exclusive right to sell,Net listing,Non-listing,2,,FREPSA Quiz 16.8.
"The primary responsibility of the sales associate, once a signed contract is received, is to",file the contract and deposit the earnest money in the trust account,give the contract and deposit to the broker,get the property into the MLS,obtain the commission for selling the property,2,,FREPSA Quiz 16.9.
The licensee’s principal responsibilities during the pre-closing period are to,handle trust funds and facilitate pre-closing activities,manage the marketing plan and all advertising,complete the title search and property inspection,arrange for the buyer’s mortgage loan,1,,FREPSA Quiz 16.10.
An important practice in the electronic dissemination of listing information is that,the firm’s listing data can only be shared by the local MLS,IDX policy enables MLS members to display and use MLS data on their websites,brokerage firms must pay to display and disseminate property listing data on their own websites,MLS data users are not compelled to share their data despite their ability to use other broker’s data,2,,FREPSA Quiz 16.11.
Email and texting as forms of communication fall under which of the following brokerage categories?,Prospecting,Pre-closing activities,Social media,Regulated advertising,4,,FREPSA Quiz 16.12.
A distinct advantage of smartphone usage in real estate marketing is that the smartphone enables associates to,operate as mobile offices,increase their overall prospect conversion rates,improve their ability to communicate effectively,increase their degree of reliability and persuasiveness,1,,FREPSA Quiz 16.13.
The most central of all themes in advertising regulation is,that advertising not be misleading or deceptive,to minimize property condition misrepresentations,to minimize the use of unauthorized signage,to minimize misrepresentations by real estate teams,1,,FREPSA Quiz 16.14.
Which of the following is NOT a provision of the Telephone Consumer Protection Act?,Solicitors must identify themselves,Telemarketers must comply with do-not-call requests,Marketers are restricted from sending unwanted faxes,Advertising emails must offer an opt-out alternative available by paying a one-time fee,4,,FREPSA Quiz 16.15.
"What happens if the sellers of a home are married, but the husband does not sign the sale contract?",The contract becomes invalid,This can lead to an encumbered title and/or legal disputes,The buyers must acknowledge that they understand the husband failed to sign and the transaction can then carry on smoothly,Nothing happens,2,,FREPSA Quiz 17.1.
A legal description must be sufficient for a competent _____ to identify the property,surveyor,title agent,escrow agent,lender,1,,FREPSA Quiz 17.2.
Which property types are eligible to participate in tax deferred exchanges?,Industrial properties,Commercial and residential properties,Income properties only,Any property type,3,,FREPSA Quiz 17.3.
Which of the following is the most common addendum to a sale contract?,Seller’s property condition disclosure,Radon disclosure,Flood plain disclosure,Tenant’s lease,1,,FREPSA Quiz 17.4.
"If ________ is involved, the sale contract sets forth the terms of the arrangement, the amount and type of loan, its rate and term, and how the loan will be paid off",conventional financing,FHA financing,VA financing,seller financing,4,,FREPSA Quiz 17.5.
How long must escrow records be retained?,For 7 years,For 5 years,For 10 years,For 3 years,2,,FREPSA Quiz 17.6.
A sale contract confers to the buyer an interest in the property called _________,prospective title,an ownership option,equitable title,legal title,3,,FREPSA Quiz 17.7.
A sale contract is ______ if the signatories have yet to perform their respective obligations and promises,fully performed,a non-binding agreement,completed,executory,4,,FREPSA Quiz 17.8.
